ORIGIN_AIRPORT_ID,DISPLAY_AIRPORT_NAME,LATITUDE,LONGITUDE
10001,Afognak Lake Airport,58.10944444,-152.9066667
10003,Bear Creek Mining Strip,65.54805556,-161.0716667
10004,Lik Mining Camp,68.08333333,-163.1666667
10005,Little Squaw Airport,67.57,-148.1838889
10006,Kizhuyak Bay,57.74527778,-152.8827778
10007,Klawock Seaplane Base,55.55472222,-133.1016667
10008,Elizabeth Island Airport,59.15694444,-151.8291667
10009,Augustin Island,59.36277778,-153.4305556
10010,Columbia County,42.28888889,-73.71027778
10010,Columbia County,42.29138889,-73.71027778
10011,Grand Canyon West,35.99027778,-113.8163889
10011,Grand Canyon West,35.98611111,-113.8169444
10011,Grand Canyon West,35.99027778,-113.8163889
10011,Grand Canyon West,35.98611111,-113.8169444
10012,Blairstown Airport,40.97111111,-74.9975
10013,Crosbyton Municipal,33.62388889,-101.2408333
10014,Blair Lake,64.36416667,-147.3613889
10014,Blair Lake,64.36361111,-147.3638889
10015,Deadmans Bay Airport,57.06666667,-153.9377778
10016,Hallo Bay Airport,58.4575,-154.0233333
10017,Red Lake Airport,57.27722222,-154.3422222
10018,Shell Lake Airport,61.96388889,-151.5558333
10019,Navigator Airstrip,65.65555556,-165.3563889
10020,Roland Norton Memorial Airstrip,66.76583333,-160.1525
10020,Roland Norton Memorial,66.76611111,-160.1527778
10021,Pillar Bay Airport,56.59805556,-134.2427778
10022,Johnstone Point Airport,60.48138889,-146.5822222
10022,Johnstone Point Airport,60.48222222,-146.5822222
10022,Johnstone Point Airport,60.48166667,-146.5841667
10022,Johnstone Point Airport,60.48222222,-146.5822222
10022,Johnstone Point Airport,60.48166667,-146.5841667
10023,Tikchik Lodge Airport,59.95555556,-158.4805556
10023,Tikchik Lodge Airport,59.95555556,-158.4805556
10024,Bell Creek Airport,60.78388889,-159.5402778
10025,Cinnabar Airport,60.78527778,-158.8644444
10026,Mountaintop Mine Airport,61.39027778,-157.9955556
10027,Whitebear Airport,61.18888889,-159.8583333
10028,Puviaq Airport,70.71861111,-154.3883333
10028,Puviaq Airport,70.71555556,-154.4069444
10029,Arley Lake Airport,70.74694444,-155.3608333
10030,Port Vita Airport,58.06555556,-153.0725
10031,Kantishna Airport,63.54166667,-150.9938889
10031,Kantishna Airport,63.54111111,-150.995
10031,Kantishna Airport,63.54166667,-150.9938889
10031,Kantishna Airport,63.54111111,-150.995
10033,Alpine Airstrip,70.34416667,-150.9447222
10034,Serpentine Airport,65.85138889,-164.7027778
10035,Driftwood Bay Airport,53.97277778,-166.8569444
10036,Bradley Lake Airport,59.77611111,-151.9636111
10037,Chilkat Lake Airport,59.33166667,-135.8966667
10038,Nugget Creek Airport,59.28833333,-136.1738889
10039,Ivotuk Airstrip,68.48333333,-155.7333333
10040,Pogo Mines Airport,64.44,-144.9363889
10041,Ayakulik River Airport,57.25388889,-154.4222222
10042,Kiluda Bay Airport,57.32305556,-153.1494444
10043,Terror Lake Airport,57.96388889,-153.0583333
10044,Selief Bay Airport,58.98277778,-153.1833333
10047,Laura Lake Airport,58.36194444,-152.3122222
10049,Deep Bay Airport,55.56027778,-131.6555556
10050,Kako Airport,61.89888889,-161.4380556
10050,Kako Airport,61.89888889,-161.4397222
10051,Molly Creek Airport,64.09722222,-143.2666667
